naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
"The confessions of Jean-Jacques Rousseau: the anonymous  translation into English of 1783 & 1790 revised and completed by A. S. B. Glover, with a new introduction by Mr. Glover, illustrations by William Sharp.",Jean-Jacques Rousseau,4.5,2,141,1782,244 
Heidi,Johanna Spyri,4.0212765,47,398,1885,180 
"Rich Dad, Poor Dad B Special",Robert T. KiyosakiandSharon L. Lechter,4.0112476,978,"27,019",1990,115 
Oliver Twist,Charles Dickens,4.0588236,68,735,1822,2209 
William Wordsworth,William Wordsworth,3.75,8,183,1807,372 
Aristotelis Ethica Nicomachea,"Aristotle,J. A. Smith,Joe Sachs,Robert C. Bartlett,Susan D. Collins,L H. G. ed Greenwood, andHye-Kyung Kim",3.826087,23,334,1558,416 
Cyrano de Bergerac /b and heroic comedy in five acgts,Edmond Rostand,3.9285715,14,82,1821,308 
"The tragedie of Anthonie, and Cleopatra.",William Shakespeare,3.4,10,183,1734,415 
The Godfather,Mario Puzo,4.2777777,36,678,1969,109 
The Last Days of Socrates,Πλάτων,4.142857,14,171,1871,126 
The posthumous papers of the Pickwick Club,"Charles Dickens,A. G. Eyre,David Foulds,Federigo Verdinois,Pierre Grollier,JUAN DE PASO,José María Valverde Pacheco translator, andJosep Carner translator",3.0,4,120,1800,538 
Walden and Civil Disobedience (Barnes & Noble Classics Series) (B&N Classics),Henry David Thoreau,3.8148148,27,384,1854,486 
The Communist manifesto: [by] Karl Marx and Friedrich Engels. Introd. by Francis B. Randall.  Afterword by Gregory Glezerman. Translation by Samuel Moore.  Edited by Joseph Katz.,Karl MarxandFriedrich Engels,3.5675676,74,586,1848,458 
El juego de Ender,Orson Scott Card,4.353403,382,960,1985,104 
Far from the madding crowd,Thomas Hardy,3.6842105,19,315,1874,229 
Study Guide: with the Old Breed by E. B. Sledge,SuperSummary,3.875,8,"1,081",2017,618 
Study Guide: Shop Class As Soulcraft by Matthew B. Crawford,SuperSummary,3.8,5,375,2019,308 
"The light of China: the Tâo Teh King of Lâo Tsze, 604-504 B. C.","老子,James Legge,Gia-Fu Feng,Stacie Mallinson,Jeff Mallinson,Peter Kang,John Minford, andStephen Mitchell",4.2916665,48,722,1842,648 
The taming of the shrew.: Edited by G.B. Harrison.,William Shakespeare,3.3333333,30,111,1631,362 
The Mysterious Affair at Styles,"Agatha Christie,Aric Cushing, andBookstar",3.9848485,66,510,1920,1017 
A Portrait of the Artist as a Young Man,James Joyce,3.3235295,34,181,1818,344 
The art of war: the oldest military treatise in the world,孙武andSun Tzu,4.036232,138,"4,329",1900,1433 
The water babies,Charles KingsleyandCharles Kingsley,4.0,5,91,1863,185 
"A treatise on government: Translated from the Greek of Aristotle. By William Ellis, A.M.",Aristotle,3.7142856,14,356,1492,224 
Hard Times (Barnes & Noble Classics Series) (B&N Classics),Charles Dickens,3.8823528,17,254,1854,1030 
It can't happen here,Sinclair Lewis,3.7368422,19,164,1935,119 
As You Like It,William Shakespeare,3.5555556,18,206,1734,465 
Die Dämonen: Roman,Фёдор Михайлович Достоевский,3.6666667,3,139,1871,170 
Thucydides,Thucydides,4.6666665,3,138,1526,172 
Hamlet: Vol. II: Appendix,William Shakespeare,3.9868422,152,"1,276",1603,1310 
The merchant of Venice,William Shakespeare,3.9583333,48,337,1600,771 
"Tess of the d'Urbervilles: a pure woman, faithfully presented. Edited with introd. and notes by R.B. Pinion.",Thomas Hardy,3.7272727,11,135,1707,747 
"Moby-Dick, or, The whale",Herman Melville,3.869281,153,"1,322",1851,1117 
Virgil's Aeneid: books I-VI,Publius Vergilius Maro,3.1666667,6,88,1710,456 
Doctor Zhivago,Boris Leonidovich Pasternak,3.357143,14,164,1957,176 
Anatomy descriptive and surgical.,Henry Gray F.R.S.andHenry Vandyke Carter,4.5,28,584,1858,109 
To Kill a Mockingbird,Harper Lee,4.0869565,207,"4,505",1960,187 
Romeo and Juliet,William Shakespeare,3.6458333,192,"2,182",1597,973 
Gulliver's travels into several remote nations of the world ...,Jonathan Swift,3.597561,82,661,1726,1809 
"Paraíso perdido, poema de Milton.: Traducido en verso castellano",John Milton,3.7741935,31,546,1667,393 
The life of King Henry V.,William Shakespeare,3.25,8,106,1600,527 
"TWELFTH NIGHT, OR, WHAT YOU WILL",William Shakespeare,3.65625,32,197,1734,636 
Emma,Jane Austen,3.98,50,815,1815,2261 
The Adventures of Tom Sawyer (Barnes & Noble Classics Series) (B&N Classics),Mark Twain,3.9577465,142,807,1817,879 
The three musketeers,Alexandre DumasandAuguste Maquet,4.0,25,215,1844,1101 
Secret Garden. Livello B1. 1. Con CD-ROM,Frances Hodgson Burnett,3.8947368,76,916,1911,1594 
"Metamorphoses, Book XI: with introduction, notes, vocabularies, and translation",Ovid,4.133333,15,308,1479,491 
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.9765258,213,"1,070",2002,102 
Julius Caesar.: With introd. and commentary by Tyrone Guthrie. Based upon the edited text of G.B. Harrison.,William Shakespeare,3.5849056,53,463,1684,697 
Macbeth,William Shakespeare,3.9296875,128,863,1508,953 
David Copperfield.,Charles Dickens,4.4615383,13,298,1800,846 
Uncle Tom's Cabin,Harriet Beecher Stowe,4.125,16,332,1850,662 
Sense and Sensibility,Jane Austen,3.8108108,37,760,1811,2015 
My struggle,Adolf Hitler,4.0212765,47,"1,296",1922,184 
Aristotle.: On the parts of animals.,Aristotle,3.6666667,12,528,1479,498 
The Tempest: a comedy,William Shakespeare,4.0,52,459,1611,799 
Murder in Retrospect,Agatha Christie,4.0,14,196,1942,101 
Salomé: drama en un acto,Oscar Wilde,3.357143,14,129,1893,177 
Life on the Mississippi,Mark Twain,3.8333333,6,183,1883,157 
Great Expectations (Barnes & Noble Classics Series) (B&N Classics),Charles Dickens,3.7328768,146,776,1861,1489 
Ivanhoe,Sir Walter Scott,3.5333333,15,134,1800,228 
The Hunger Games,Suzanne Collins,4.1023965,459,"4,850",2008,131 
"Leviathan: or, The matter, forme and power of a commonwealth, ecclesiasticall and civill",Thomas Hobbes,3.357143,14,261,1651,99 
Catch-22: a novel,Joseph Heller,4.106383,188,903,1961,134 
Funerals are Fatal,Agatha Christie,4.4666667,15,326,1953,109 
