naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
The Devil rides out,Dennis Wheatley,3.5,2,39,1935,32 
The occult world,Alfred Percy Sinnett,,,32,1881,44 
Harmer John: an unworldly story.,Hugh Walpole,,,1,1926,76 
Miss Marple: the complete short stories,Agatha Christie,4.571429,7,43,1985,19 
Charlotte Temple: a tale of truth,Rowson Mrs,,,1,1802,76 
Giant's bread,Agatha Christie,,,40,1929,29 
Wenken voor de wildernis: (verhalen),Margaret Atwood,,,37,1991,40 
The old ladies.,Hugh Walpole,,,,1924,77 
Omertá,Mario Puzo,2.0,1,29,2000,40 
Miss Marple's Final Cases: 1979,Agatha Christie,4.5,2,34,1979,32 
Promise to Pay.,Daphne Clair,3.6153846,13,35,1981,4 
"Lord Byron's correspondence: chiefly with LadyMelbourne, Mr. Hobhouse, Douglas Kinnaird and P.B. Shelley",Lord Byron,,,16,1830,49 
Blank Stickers Book: Flamingo Lover's Blank Sticker Book for Kid's Girl's Boy's Children Toddler.,B. S. B. Press,,,,2020,50 
The Complete Illustrated Lewis Carroll,Lewis Carroll,3.75,4,34,1900,36 
Gwiazda wieczorna wschodzi: Baśniobór,Brandon Mull,4.125,8,46,2007,6 
Nancy Drew 46: The Invisible Intruders GB (Nancy Drew),Mildred Augustine Wirt Benson,4.0,3,68,1969,2 
The hidden reality: parallel universes and the deep laws of the cosmos,Brian GreeneandCéline Laroche,3.857143,7,58,2011,10 
"Lucia di Lammermoor: dramma tragico in due parti: parte prima, La partenza, in un solo atto, parte seconda, Il contratto nuziale, in due atti.  Da rappresentarsi nell'Teatro della Corte, presso la porta d'Italia in Vienna.",Gaetano Donizetti,,,3,1800,71 
The fractal geometry of nature,"Benoît B. Mandelbrot,Josep Maria Llosa, andJosep Maria Llosa",,,46,1982,15 
Rigby Literacy by Design: Leveled Reader Susan B. Anthony,RIGBY,,,7,2007,69 
Children of Gebelaawi,نجيب محفوظ,5.0,1,41,1967,31 
Run for Your Life,James PattersonandMichael Ledwidge,4.0,2,38,2008,29 
Best of Enemies: Nancy Drew and Hardy Boys: Super Mystery #9,Mildred Augustine Wirt Benson,3.0,2,51,1991,5 
Planer 2020: Terminplaner Monatsplaner und Wochenplaner Organizer F&#65533;chse und B&#65533;ume,Veropa Press,,,,2019,76 
The Heart Goes Last,Margaret Atwood,3.3846154,13,44,2015,14 
"C. J. B. Karsten; H. Dechen: Archiv Für Mineralogie, Geognosie, Bergbau und Hüttenkunde. Band 17",C. J. B. KarstenandH. v. Dechen,,,,1829,49 
The Andreou Marriage Arrangement Helen Bianchin,Helen Bianchin,4.142857,7,41,2010,8 
Don't Blink,James PattersonandHoward Roughan,3.0,1,43,2010,23 
I don't want to talk about it: overcoming the secret legacy of male depression,Terrence Real,4.0,1,58,1997,8 
Freeze Tag,Caroline B. Cooney,4.2,5,33,1992,13 
Essays of E.B. White,E. B. White,4.0,1,26,1977,10 
The media of mass communication,John Vivian,,,58,1991,18 
Todo Un Hombre,Tom Wolfe,4.0,6,34,1998,30 
Toda la verdad,David Baldacci,4.4,5,24,2008,38 
A Dream of John Ball,William Morris,4.0,1,1,1908,74 
Iphigenia in Tauris,Euripides,4.0,1,9,1833,63 
Return of the Indian,Lynne Reid Banks,3.5,6,43,1986,18 
What Dreams May Come,Richard Matheson,4.5,4,45,1978,17 
La science et l'hypothèse,Henri Poincaré,,,14,1900,61 
The last picture show,Larry McMurtry,4.0,1,43,1966,23 
El Libro de Las Virtudes,"William J. Bennett,Bennet, William, andWilliam J. Bennett",5.0,2,44,1993,21 
Views a-foot,Bayard Taylor,,,,1846,76 
Galileo,Bertolt Brecht,3.25,4,25,1956,43 
The Mosquito Coast,Paul Theroux,4.6666665,3,38,1981,29 
"Poetica de Horatio, e o Ensaio sobre a critica de Alexandre Pope: em portuguez",HoraceandFloriano Martins,3.25,4,9,1536,59 
Italian journeys,William Dean Howells,,,5,1867,71 
The Confessions of Nat Turner,William Styron,4.0,2,30,1920,41 
The Seasons,James Thomson,,,,1771,76 
Argonauts of the western Pacific: an account of native enterprise and adventure in the archipelagoes of Melanesian New Guinea,Bronisław Malinowski,3.5,2,13,1922,61 
Honour among Thieves,Jeffrey Archer,3.6,5,31,1993,39 
Side by side: English grammar through guided conversations / B1.,Steven J. Molinsky,,,46,1980,21 
Feux d'artifice,Agatha Christie,4.0,1,29,1955,33 
"Perrine's literature: Structure, Sound, and Sense","Thomas R. Arp,Greg Johnson,Albert Camus,Антон Павлович Чехов,Chinua Achebe,Margaret Atwood, andRichard Connell",4.0,1,67,2001,4 
We the people: an introduction to American politics,Benjamin Ginsberg,,,23,1997,51 
Past All Reason,Kay Thorpe,3.2307692,13,35,1992,5 
Les funérailles de la Grande Mémé,Gabriel García Márquez,,,20,1962,52 
Night-time Is My Time,Mary Higgins ClarkandKate Harper,3.0,2,26,2004,37 
Journal of Philology,"William Aldis Wright,William George Clark, andJohn E. B. Mayor",,,1,2012,64 
The intelligent woman's guide to socialism and capitalism,George Bernard Shaw,4.5,2,25,1928,47 
"Eloisa: or, a series of original letters, collected and published by Mr. J. J. Rousseau, ... Translated from the French. To which are added, The adventures of Lord B- at Rome, being the sequel of Eloisa, ...",Jean-Jacques Rousseau,,,7,1761,66 
Lohnarbeit und Kapital,Karl MarxandFriedrich Engels,5.0,3,22,1902,47 
The soul of man under socialism,Oscar Wilde,4.25,4,29,1891,41 
"The Shorter Catechism of the reverend Assembly of Divines: with proofs thereof out of the Scriptures, in words at length ..",Westminster Assembly (1643-1652),,,8,1659,66 
"Indian treaties and surrenders, from 1680 to 1890",Canada,,,4,1891,71 
"Annals of the parish, or, The chronicle of Dalmailing during the ministry of the Rev. Mieah Balwhidder, written by himself",John Galt,5.0,1,2,1821,72 
W. B. Yeats: Selected Poetry,A. Norman Jeffares,,,8,1949,27 
"Proceedings of the Municipal Council of the County of Welland: first session, George J. Duncan, Esquire, warden : 27th, 28th, 29th, 30th and 31st January, 1880.",Welland (Ont. : County). Municipal Counc...,5.0,1,1,1870,74 
Biology,"Peter H. Raven,George B. Johnson, andPeter Raven",3.5,2,48,1986,13 
Age of Extremes B S/Wx12,Eric Hobsbawm,5.0,2,44,1994,10 
Public finance,Harvey S. Rosen,4.3333335,3,56,1984,10 
L' avare: comédie.,Molière,4.0,2,5,1674,63 
The Italian Duke's Virgin Mistress,Penny Jordan,3.6666667,9,38,2010,7 
Nights at the circus,Angela Carter,4.0,1,59,1984,9 
Paz Interminable,Joe Haldeman,3.2222223,18,38,1997,10 
From Manassas to Appomattox: memoirs of the civil war in America.,James Longstreet,,,5,1896,70 
Modern Optics (Solutions Manual),B. D. Guenther,4.6,5,46,1990,1 edition
Qualitative data analysis: an expanded sourcebook,Matthew B. Miles,5.0,1,49,1984,3 
Into the jungle: great adventures in the search for evolution,Sean B. Carroll,,,50,2009,1 edition
The stranger,Caroline B. Cooney,4.0,2,34,1993,14 
Karate Kid,B. B. Hiller,,,37,1984,6 
Witchcraft.,Jayne Ann Krentz,2.5,4,49,1985,7 
Aristotelis Athenaion politeia,Aristotle,,,15,1891,60 
De Oratore,Cicero,4.0,2,15,1755,58 
The works of Alexander Pope.,Alexander Pope,3.0,2,12,1718,58 
Los 100 secretos de la gente feliz: lo que los científicos han descubierto y cómo puede aplicarlo a su vida,"Niven, DavidandDavid Niven",4.75,4,60,2000,7 
Self-reliance: the wisdom of Ralph Waldo Emerson as inspiration for daily living,Ralph Waldo Emerson,4.3333335,3,47,1900,13 
When we were orphans,Kazuo Ishiguro,3.0,3,35,2000,31 
Sharing a Shell,Julia Donaldson,3.0,2,45,2004,20 
The new joy of sex,Alex ComfortandJohn Raynes,5.0,1,55,1991,15 
Dnevnik pisatelia za tysiacha vosem'sot sem'desiat sed'moǐ god,Фёдор Михайлович Достоевский,3.0,1,28,1878,43 
Ergonomics: how to design for ease and efficiency,"K. H. E. Kroemer,H. B. Kroemer, andK. E. Kroemer-Elbert",5.0,1,57,1993,6 
The lowland,Jhumpa Lahiri,3.4444444,9,42,2013,19 
airborn,Kenneth Oppel,3.6666667,6,41,1997,25 
A practical English grammar,A. J. ThomsonandA. V. Martinet,,,47,1964,21 
DOS Princesas Sin Miedo,"Gail Carson Levine,January Lavoy, andLynn Redgrave",4.142857,14,34,2000,23 
Intermediate algebra: concepts and applications.,Marvin L. Bittinger,3.5,2,45,1990,26 
No Gentle Persuasion.,Kay Thorpe,3.0,13,30,1984,5 
Devil's Gateway.,Yvonne Whittal,3.8666666,15,30,1977,4 
"Alas, Babylon; a novel","Pat Frank,David Brin, andPat Frank",3.875,16,19,1959,36 
Folk-Lore in the Old Testament,"James George Frazer,Anonymous,Anonymous, andGeorge Frazer",,,3,1907,72 
Grasp a Nettle,Betty Neels,3.9166667,12,31,1977,11 
"Athens, its rise and fall.","Edward Bulwer Lytton, Baron Lytton",,,6,1837,68 
Junie B. Jones is Captain Field Day,Barbara Park,4.6666665,6,23,2001,5 
"Expressways: English for Communication, Book 1B (Expressways)",Steven J. Molinsky,4.5,2,35,1986,21 
Mister Johnson,Joyce Cary,,,8,1900,67 
Hadrian the Seventh,Frederick William Rolfe,,,15,1904,56 
Violín,Anne Rice,2.0,3,36,1997,31 
Aphrodite: A Memoir of the Senses,Isabel Allende,5.0,1,22,1997,47 
Black Book,"James Patterson,David Ellis, andDavid B. Ellis",3.0,2,31,2017,16 
Tiny Habits: The Small Changes That Change Everything,B. J. FoggandDoug Abrams,3.5714285,7,41,2019,5 
Complete plays.,Jean Racine,3.0,2,13,1844,59 
In Loving Memory. Guest Book,B. B. D. Gift Designs,,,,2018,50 
Mrs. Tittlemouse: 03 Tongyong Pinyin Paperback B&W,"Beatrix Potter,Wendy Rasmussen, andH.Y. Xiao PhD",3.5,6,14,1910,48 
"The Rage Of Dragons: The Burning Series, book 1",Evan Winter,4.25,4,58,2017,7 
Candida,George Bernard Shaw,3.5,2,10,1905,62 
Scorpia Rising,Anthony Horowitz,4.6666665,6,45,2011,10 
Ghost Stories (Nancy Drew),Mildred Augustine Wirt Benson,3.8,5,56,1983,4 
Ali Cross,James Patterson,,,61,2019,10 
Matilda's Wedding,Betty Neels,3.9166667,12,33,2000,12 
Para kay B: (o Kung Paano Dinevestate ng Pag-ibig ang 4 out of 5 sa Atin),Ricardo Lee,4.5,2,42,2008,2 
Genetics,Peter J. RussellandBruce A. Chase,5.0,2,54,1986,13 
"The ""genius""",Theodore Dreiser,,,12,1915,62 
At Odds With Love,Betty Neels,4.25,12,34,1993,13 
Ring in a Teacup,Betty Neels,4.5454545,11,24,1978,12 
Quality is free: the art of making quality certain,Philip B. Crosby,3.6666667,3,43,1979,7 
Star guide to predictive astrology: bhavas-planets in the 12 houses,K. B. Parsai,5.0,1,50,2001,1 edition
"Goddesses, whores, wives, and slaves: women in classical antiquity",Sarah B. Pomeroy,5.0,1,44,1975,6 
"The books of Enoch: a complete volume containing: 1 Enoch (The Ethiopic book of Enoch), 2 (The Slavonic book of Enoch), 3 (The Hebrew book of Enoch)",Joseph B. Lumpkin,,,47,2010,1 edition
Le mariage de Figaro,Pierre Augustin Caron de Beaumarchais,,,8,1785,64 
14th Deadly Sin,James PattersonandMaxine Paetro,4.75,4,47,2015,17 
"Histoires de fantômes, nouvelle édition",Roald Dahl,4.5,2,53,1983,14 
Thaddeus of Warsaw,Jane Porter,,,3,1800,70 
Sangre inocente,P. D. James,3.5,2,20,1980,46 
Socks,Beverly Cleary,4.0,5,31,1911,33 
"Piers Plowman: prologue and passus I-VII, text B",William Langland,2.0,1,12,1900,47 
The Dramatic Works of Shakspeare: from the text of Johnson and Steevens,William Shakespeare,4.0,1,14,1768,58 
Armadale,Wilkie Collins,4.0,2,6,1866,64 
Frühlings Erwachen: eine Kindertragödie.,Frank Wedekind,4.285714,7,16,1800,52 
The life of the bee,Maurice Maeterlinck,5.0,1,3,1900,70 
Cry to Heaven,Anne Rice,3.5,2,35,1982,27 
The bell,Iris Murdoch,5.0,1,17,1958,53 
The anatomy of human destructiveness,Erich Fromm,4.0,1,44,1973,29 
17Th Suspect Bk 17 P/B,James PattersonandMaxine Paetro,3.5,2,37,2018,19 
Science & education: essays,Thomas Henry Huxley,3.0,1,18,1893,56 
Promise of the unicorn.,Sara Craven,3.8461537,13,30,1985,4 
Pippi Goes Aboard (Puffin Books),Astrid Lindgren,4.0,2,35,1946,34 
The Science of Being Well,"Wallace D. Wattles,Jim Killavey, andBart Van den Hoogen",,,9,1910,65 
H is for homicide,Sue Grafton,4.0,6,21,1991,37 
The Falling in Love Montage,Ciara Smyth,,,66,2020,4 
Jalna,Mazo de la Roche,4.0,1,8,1923,65 
The monks of the West from St. Benedict to St. Bernard,Charles de Montalembert,,,,1860,74 
A chambermaid's diary,Octave MirbeauandBenjamin Ricketson Tucker,,,10,1900,62 
Swimming in the Dark: A Novel,Tomasz Jedrowski,4.75,4,59,2020,8 
"Missale romanum: ex decreto sacrosancti Concilii Tridentini restitutum, Pii V. Pont. Max. jussu editum, et Clementis VIII primum, nunc denuo Urbani Papae octavi auctoritate recognitum...",Catholic Church,5.0,1,20,1481,50 
"A duet, with an occasional chorus",Arthur Conan Doyle,,,4,1899,70 
Building Construction,B.C. Punmia,3.6666667,3,60,2005,1 edition
Nancy Drew 29: Mystery at the Ski Jump (Nancy Drew),Mildred Augustine Wirt Benson,4.5,2,59,1952,2 
Mental health and mental illness,Patricia D. Barry,,,63,1985,5 
Picatrix: A Medieval Treatise on Astral Magic,"Maslamah ibn Ahmad Majrīṭī,David Pingree,Steven Ashe,B. Bakhouche,Dan Attrell,John Michael Greer,Christopher Warnock,John Greer,Edmund Kelly, and1 other",5.0,3,39,1933,22 
Una cierta justicia,P. D. James,5.0,2,10,1997,54 
People vs. Alex Cross,James Patterson,3.8,5,46,2017,20 
"The suppression of the African slave-trade to the United States of America, 1638-1870.","W. E. B. Du Bois,Henry Louis Gates, Jr., andSaidiya V. Hartman",,,9,1896,55 
Emma's Wedding,Betty Neels,3.7142856,7,30,2001,14 
De re publica: librorum sex quae manserunt,Cicero,,,16,1553,55 
A Secret Infatuation,Betty Neels,3.8888888,9,39,1994,11 
Winter Wedding,Betty Neels,4.428571,7,27,1979,11 
Plant physiology,Robert M. Devlin,3.2857144,7,54,1966,4 
Criss Cross,James Patterson,3.0,3,54,2019,14 
A Woman Is No Man: A Novel,Etaf Rum,4.0,3,60,2019,7 
An autobiography,Anthony Trollope,2.0,1,11,1853,61 
A practical discourse concerning death,William Sherlock,4.0,1,22,1689,50 
Indian Sociological Thought,B. K. Nagla,4.0,1,44,2008,3 
20 ads that shook the world: the century's most groundbreaking advertising and how it changed us all,James B. Twitchell,,,47,2000,1 edition
She Wore Red Trainers: A Muslim Love Story,Na'ima B. Robert,5.0,1,45,2014,2 
Investments: An Introduction,Herbert B. Mayo,,,22,1983,27 
Emotion and meaning in music,Leonard B. Meyer,5.0,1,43,1956,6 
L calavera bajo la piel,P. D. James,3.2,5,15,1982,51 
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,,,30,2021,11 
The postcard killers,"James Patterson,Liza Marklund,Liza Marklund, andLiza Marklund",2.5,2,39,2008,24 
Silber: El primer libro de los sueños,Kerstin GierandAnthea Bell,5.0,2,55,2013,13 
Sonnets from the Portuguese.,Elizabeth Barrett Browning,,,14,1896,55 
"A treatise on political economy: or The production, distribution, and consumption of wealth.","Jean Baptiste Say,Charles Robert Prinsep,Clement Cornell Biddle,Salim Rashid,Gary Hull, andSay, Jean Baptiste Princep, Charles Robe...",,,6,1803,67 
La canción de la luna,Scott O'Dell,3.0,1,43,1970,23 
Monsignor Quixote,Graham Greene,4.0,1,10,1982,61 
Hostile Engagement.,Jessica Steele,3.5454545,11,29,1979,3 
The Parisians.,"Edward Bulwer Lytton, Baron Lytton",3.0,2,12,1850,61 
Moon of Aphrodite.,Sara Craven,2.875,8,38,1980,3 
Hecuba,Euripides,,,9,1518,63 
Sociology: a down-to-earth approach,James M. Henslin,3.6666667,3,38,1993,29 
The night of the iguana,Tennessee Williams,3.0,2,32,1939,37 
Shop Class as Soulcraft,Matthew B. CrawfordandMatthew B Crawford,3.7142856,7,28,2009,12 
I Wish I Had Duck Feet B/C Pkg,Dr. Seuss,5.0,3,37,1965,12 
Dansende meisjes,Margaret Atwood,,,28,1977,43 
The enchanted typewriter,John Kendrick Bangs,4.5,2,13,1899,58 
Judy Moody ser in i framtiden,Megan McDonald,5.0,2,22,2003,41 
The laws of human nature,"Wheeler, Raymond Holder",,,63,1931,2 
Houghton Mifflin Science California: Unit Equipment Kit Unit B Level K,Houghton Mifflin Company Staff,,,2,2005,64 
Mythologies.,William Butler Yeats,,,22,1959,21 
Representative men: seven lectures,Ralph Waldo Emerson,,,9,1800,62 
Complete Novels of Jane Austen,Jane Austen,5.0,2,36,1966,31 
Bodas De Sangre / Blood Wedding (Coleccion Cara Y Cruz),Federico García Lorca,5.0,1,9,1935,61 
Tales of a grandfather: third series; being stories taken from Scottish history. Humbly inscribed to Hugh Littlejohn,Sir Walter Scott,2.0,1,7,1827,64 
"Classification.: Class B, part 1, B-BJ: Philosophy.",Library of Congress. Subject Cataloging ...,5.0,1,19,1904,41 
L' ami des enfans: par M. Berquin. ...,Arnaud Berquin,,,3,1783,70 
Seriously...I'm Kidding,Ellen DeGeneres,4.25,8,54,2011,5 
The Art of Impossible: A Peak Performance Primer,Steven Kotler,5.0,1,62,2021,7 
Indian Horse,Richard Wagamese,5.0,2,60,2012,6 
Die Welt von gestern: Erinnerungen eines Europäers.,Stefan Zweig,3.0,1,38,1941,28 
"Run, Rose, Run",James PattersonandDolly Parton,3.0,3,56,2022,11 
La Novia Muerta,Robert Lawrence Stine,3.0,3,52,1993,7 
Le malade imaginaire,Molière,5.0,1,8,1772,61 
Mi experiencia lesbiana con la soledad,Kabi Nagata,4.357143,14,41,2016,4 
A Little Hatred,Joe Abercrombie,4.2,15,39,2014,12 
Praisesong for the widow,Paule Marshall,4.0,1,64,1983,5 
A Gentle Feuding,Johanna Lindsey,4.714286,7,44,1984,8 
The vision of Piers Plowman: a critical edition of the B-text based on Trinity College Cambridge MS B.15.17,William LanglandandE. Talbot Donaldson,4.0,1,9,1550,50 
The poetics of space.,Gaston Bachelard,5.0,1,57,1964,8 
White Guard,Михаил Афанасьевич Булгаков,3.8,5,18,1969,46 
Puzzle Pack: One Day in the Life of Ivan Denisovich,Mary B. Collins,,,1,2005,50 
Globalization: a very short introduction,Manfred B. Steger,2.0,2,41,2003,4 
15th Affair,James PattersonandMaxine Paetro,3.5,2,49,2016,17 
The Fortunes of Francesca,Betty Neels,4.285714,7,29,1997,16 
Oldtown folks.,Harriet Beecher StoweandHarriet Stowe,,,,1869,72 
Thaïs.: Translated by Robert B. Douglas.,Anatole France,4.0,1,8,1889,44 
"Symphony no.46, B major",Franz Joseph Haydn,,,2,1791,55 
Barrayar,Lois McMaster Bujold,3.7391305,23,22,1991,18 
Chitty Chitty Bang Bang.  The Complete Adventures of the Magical Car,Ian Fleming,,,,1964,72 
"The clockmaker, or, The sayings and doings of Samuel Slick of Slickville",Thomas Chandler Haliburton,5.0,1,10,1838,61 
Snowflake Bentley,Jacqueline Briggs Martin,4.181818,11,38,1998,15 
Kenelm Chillingly: his adventures and opinions,"Edward Bulwer Lytton, Baron Lytton",4.0,2,3,1800,66 
"Perrine's literature: structure, sound, and sense","Greg Johnson,Thomas R. Arp,Margaret Atwood,Ray Bradbury,Albert Camus,Антон Павлович Чехов,Kate Chopin, andRichard Connell",4.1666665,6,63,2015,2 
Le diable au corps,Raymond Radiguet,3.0,3,23,1923,45 
Emilia Galotti,Gotthold Ephraim Lessing,2.0,2,17,1800,52 
No wind of blame.,Georgette Heyer,4.25,4,30,1939,33 
El retorno de la momia,Robert Lawrence Stine,3.6666667,6,40,1994,21 
Gai-jin: A Novel of Japan,James Clavell,4.0,6,35,1993,18 
"The characters of Theophrastus: tr. from the Greek, and illustrated by physiognomical sketches. To which are subjoined the Greek text, with notes, and hints on the individual varieties of human nature.",Theophrastus,3.0,1,10,1628,60 
Æsop's fables,Aesop,,,22,1502,49 
The moving toyshop: a detective story,Edmund Crispin,3.6666667,3,29,1946,34 
Professional baking,"Wayne Gisslen,W Gisslen, andWayne Gisslen",,,41,1985,29 
True blue,David Baldacci,4.0,7,26,2009,24 
Rant Export Only Edition,"Chuck Palahniuk,Javier Calvo, andJavier Calvo Perales",4.142857,14,28,1998,24 
The Solitude of Prime Numbers,Paolo Giordano,3.7142856,7,34,2008,26 
The letters of Junius.,Junius,,,5,1770,67 
The construction of buildings,Robin Barry,,,34,1958,34 
Devoted in death,Nora Roberts,4.0,3,37,2015,25 
Sister Peters in Amsterdam,Betty Neels,4.428571,7,29,1969,13 
Platons Vertheidigungsrede des Sokrates und Kriton,Πλάτων,,,6,1827,66 
The duke's children.: With a pref. by Chauncey B. Tinker; illus. by Charles Mozley.,Anthony Trollope,,,16,1880,48 
Five Go to Billycock Hill,Enid Blyton,5.0,2,24,1957,40 
A writer's diary: being extracts from the diary,Virginia Woolf,3.5,2,37,1953,29 
Summer of My German Soldier,Bette GreeneandBette Greene,5.0,1,20,1973,45 
The recruiting officer.,George Farquhar,4.0,2,6,1706,63 
Platons Laches: für den Schulgebrauch,Πλάτων,3.0,1,4,1868,65 
Traffics and Discoveries (20th Century Classics),Rudyard Kipling,3.5,2,10,1904,60 
Family album,Danielle Steel,3.0,1,6,1985,60 
The seven poor travelers.: In eight chapters.,Charles Dickens,,,4,1854,68 
Labyrinth: A Detective Investigates the Murders of Tupac Shakur and Notorious B. I. G.,Randall SullivanandRANDALL SULLIVAN,5.0,3,38,2002,9 
"Language Files: Materials for an Introduction to Language and Linguistics, 12th Edition",Department of Linguistics,3.6666667,3,65,2016,2 
Emmanuelle,Emmanuelle Arsan,3.8,5,51,1960,6 
The Essays of Elia,Charles Lamb,,,3,1800,68 
"Gods, graves, and scholars: the story of archaeology, by C.W. Ceram [pseud.]  Translated from the German by E.B. Garside.",C. W. Ceram,5.0,1,15,1949,46 
A Christmas affair,Carole Mortimer,3.857143,14,32,1990,7 
Indian architecture: Buddhist and Hindu periods,Percy Brown,3.0,3,42,1942,22 
First Love,James PattersonandEmily Raymond,3.0,1,38,2013,25 
The Fateful Bargain,Betty Neels,4.0,8,30,1989,10 
The Betrothed,Kiera Cass,4.0,4,49,2020,13 
Le bourgeois gentilhomme,Molière,5.0,1,6,1674,63 
Pineapple Girl,Betty Neels,3.5,10,29,1977,10 
El Cielo de Piedra,N. K. Jemisin,4.3846154,13,35,2017,9 
Macbeth,William Shakespeare,,,9,1883,62 
Begin Chess: Second Edition,David B. Pritchard,2.5,2,37,1973,7 
An introduction to embryology.,B. I. Balinsky,,,36,1960,10 
Wanted!,Caroline B. Cooney,3.0,2,31,1997,9 
"The art of manipulation: how to get what you want out of people in business, in your personal life, and in your love life",R. B. Sparkman,5.0,3,43,1978,3 
Leather Look Journal with Monogram Initial: Black Faux Leather Photo Texture Notebook with Gold Monogram 'B',Hemlock Hemlock Moon,,,,2018,70 
The Norton Shakespeare 4v Slipcased (The B'nai B'rith Jewish heritage classics),William Shakespeare,,,16,1905,45 
Bertolt Brecht collected plays,Bertolt Brecht,,,17,1953,53 
Night and morning: a novel,"Edward Bulwer Lytton, Baron Lytton",3.0,1,10,1800,59 
THE MONEY-CHANGERS.,Arthur Hailey,3.0,2,17,1970,49 
América,James Ellroy,4.1666665,6,34,1995,27 
Environmental Science: A Study of Interrelationships,"Eldon D. Enger,Richard J. Kormelink, andBradley F. Smith",3.0,2,46,1986,21 
Mules and men,Zora Neale Hurston,,,47,1935,18 
A bargain for Frances,"Russell Hoban,Lillian Hoban, andTomas Gonzalez",3.5,4,37,1970,21 
"Buck Ryan: In the Scrubber, B&W) Newspaper Comic Strips","Israel Escamilla,Jack Monk,Don Freeman, andthe Mirror",,,3,2018,66 
The first phone call from heaven,Mitch Albom,3.0,1,49,2013,17 
Skin again,Bell HooksandChristopher Raschka,,,56,1990,14 
Los insanos😩: Los insanos 😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩,Scott Cawthon,4.888889,9,60,2017,1 edition
Love in hiding,Barbara Cartland,4.0,1,48,1959,9 
The Broken Wings,Kahlil Gibran,,,9,1912,62 
A treatise concerning the principles of human knowledge.,Alfred KlemmtandGeorge Berkeley,3.6666667,3,16,1710,49 
The gentleman's pocket farrier,William Burdon,,,4,1730,67 
M. Tulli Ciceronis Laelius de amicitia: with notes,Cicero,4.0,2,5,1511,65 
Doctor Doolittle's Circus,Hugh Lofting,,,,1924,71 
"Mentes Inquietas - Tdah: Desatenção, Hiperatividade E Impulsividade - Ana Beatriz Barbosa Silva - B",Ana Beatriz Barbosa Silva,,,41,2008,2 
Kabale und Liebe,Friedrich SchillerandFriedrich Schiller,4.0,2,8,1784,61 
Magic for Marigold,Lucy Maud Montgomery,3.6666667,3,30,1925,32 
The  descent of man and selection in relation to sex.,Charles Darwin,4.0,1,19,1870,48 
Mistletoe Magic: A Christmas Romance / An Outback Christmas / Sarah's First Christmas,"Betty Neels,Margaret Way, andRebecca Winters",3.9,10,40,1999,2 
Mugby Junction,"Charles Dickens,Charles James Collins,Hesba Stretton,Andrew Halliday,Edwards, Amelia Ann Blanford, andNathan Pugh",,,,1866,70 
Maria Chapdelaine: récit du Canada français,Louis Hémon,4.5,2,18,1916,51 
Nancy Drew 34: The Hidden Window Mystery (Nancy Drew),Mildred Augustine Wirt Benson,4.0,1,56,1957,2 
Britannicus,Jean Racine,4.5,2,7,1757,60 
Theories of development: concepts and applications,William C. Crain,2.5,2,60,1980,5 
Yes!: 50 Scientifically Proven Ways to Be Persuasive,"Noah J. Goldstein,Steve J. Martin, andRobert B. Cialdini",4.0,3,44,2008,6 
The Betrayed,Kiera Cass,4.3333335,3,55,2021,9 
"Heroides: Heroides I., V., XII","Ovid,Arthur Palmer, andKennedy",2.0,2,5,1637,61 
Britannia All at Sea,Betty Neels,4.25,8,29,1978,10 
El profeta rojo/ Red Prophet,Orson Scott Card,4.0,11,21,1988,30 
Citónica / Cytonic,Brandon Sanderson,3.7692308,13,40,2021,12 
The Thomas Berryman number,James Patterson,1.0,1,36,1976,30 
Bodily Harm B Book Club,Margaret Atwood,3.0,1,16,1981,39 
La huida,David Baldacci,3.9166667,12,24,1970,23 
The dramatic works of the Right Honourable Richard Brinsley Sheridan ...,Richard Brinsley Sheridan,5.0,1,4,1795,57 
The professor's house,Willa Cather,3.5,2,11,1925,58 
How to speak dragonese,Cressida Cowell,4.428571,7,38,2005,22 
La Noche de Halloween,Robert Lawrence Stine,3.0,1,57,1993,7 
White Sand,"Brandon Sanderson,Rik Hoskin, andJulius M. Gopez",3.5454545,11,38,2016,5 
Ambedkar: an overview,B. R. Ambedkar,5.0,2,39,2003,2 
Downfall: the end of the Imperial Japanese Empire,Richard B. Frank,,,42,1999,2 
Modern welding technology,Howard B. Cary,,,38,1979,8 
Twilight eyes,Dean Koontz,3.75,4,30,1985,25 
A return to love: reflections on the principles of a Course in miracles,Marianne Williamson,3.25,4,47,1992,10 
Casa de Las Cadenas / House of Chains,Steven Erikson,4.3333335,18,27,1998,14 
The master-singers of Nuremberg,Richard WagnerandKarl Klindworth,4.0,1,8,1800,60 
Blood Brothers,Nora Roberts,4.25,4,30,1982,27 
Die vierzig tage des musa dagh.,Franz Werfel,5.0,2,27,1933,36 
Malcolm,George MacDonald,4.0,1,7,1850,61 
Superworm,Julia Donaldson,5.0,2,37,2012,21 
Operations and Supply Chain Management: The Core,F. Robert JacobsandRichard B. Chase,,,35,2010,13 
The Misbehavior of Markets,Benoît B. MandelbrotandRichard L. Hudson,4.0,1,37,2004,12 
